candidate,seed,gamma,coupling_scale,nonlinear_strength,loss,input_injection,noise,connectivity_radius,peak_norm_through_t32,norm_t32,survival_t16,survival_t32,effective_rank_t32,effective_rank_retention,noise_adjusted_capacity_bits,cycle_period,input_separation,nonlinear_effect,accepted,failure_reasons
candidate-31,303,0.05,1.0,1.0,0.98,0.3,0.0,1,0.9590203928816875,0.3127791302896905,0.4128460926867229,0.1793856794314211,3.999876230063047,0.999969839993563,26.059658078084787,,0.14827483693174198,0.0030220025253169503,true,
candidate-32,101,0.05,1.0,1.0,0.98,0.5,0.0,1,0.9529016080489843,0.2386804192857872,0.4727708136972096,0.24789915731305806,3.9999509067439276,1.000015631619677,26.13808216993835,,0.29307386967679605,0.00871338799125427,true,
candidate-32,202,0.05,1.0,1.0,0.98,0.5,0.0,1,0.9496978726285698,0.19435329594169484,0.44618207206807736,0.20303265811842047,3.999924074513682,0.9999856841918958,26.068214494492615,,0.12455278421512474,0.00014554614875731601,true,
candidate-32,303,0.05,1.0,1.0,0.98,0.5,0.0,1,0.9590009435060938,0.3178785038655407,0.41249001198101404,0.17912183773039603,3.9998771053097193,0.9999701165703592,26.05924524086372,,0.24570367994559644,0.005240793309663876,true,
candidate-33,101,0.05,1.0,2.0,0.98,0.1,0.0,1,0.9533632681792417,0.2697718269492728,0.4670238857768748,0.24335700692470114,3.99995201693274,1.0000108832427321,26.122814570209258,,0.058251753721811426,0.0039981568830763205,true,
candidate-33,202,0.05,1.0,2.0,0.98,0.1,0.0,1,0.950089164638802,0.19608355033736594,0.4462385569132415,0.2030740028245349,3.9999239586060633,0.9999856416555677,26.067990335426806,,0.024827397512967107,0.0005889213648989493,true,
candidate-33,303,0.05,1.0,2.0,0.98,0.1,0.0,1,0.9587247919970633,0.30940478553739637,0.41452914788111545,0.17931387629707832,3.9998782384480207,0.9999702797231133,26.059286960756246,,0.04907849581592452,0.0038525234843254743,true,
candidate-34,101,0.05,1.0,2.0,0.98,0.3,0.0,1,0.9530774035541748,0.24711048992420864,0.4700542254413387,0.24631715486438854,3.9999510800273703,1.000013599431605,26.126232738520176,,0.17348430002541482,0.008728714436635874,true,
candidate-34,202,0.05,1.0,2.0,0.98,0.3,0.0,1,0.9498919064595344,0.19481717923863529,0.44621190788305054,0.20304316202356104,3.9999240486805054,0.9999856474793881,26.06785564034457,,0.07436979165362458,0.0003798354653666084,true,
candidate-34,303,0.05,1.0,2.0,0.98,0.3,0.0,1,0.9587155712442608,0.30982130277381087,0.4138799991225234,0.17888225426606136,3.999878387653907,0.9999703777010138,26.058716475092943,,0.14640484906418597,0.005859770276850067,true,
