run,seed,corruption,severity,recurrence,wrong_to_correct,correct_to_wrong,wrong_to_correct_probability,correct_to_wrong_probability,confidence_amplifications,confidence_amplification_probability
brief3_primary_occlusion-025_seed_20260809,20260809,occlusion,0.25,14,1,0,0.0011123470522803114,0.0,999,0.999
brief3_primary_occlusion-025_seed_20260809,20260809,occlusion,0.25,15,0,0,0.0,0.0,1000,1.0
brief3_primary_occlusion-025_seed_20260809,20260809,occlusion,0.25,16,0,0,0.0,0.0,999,0.999
brief3_primary_occlusion-025_seed_20260809,20260809,occlusion,0.25,17,0,0,0.0,0.0,998,0.998
brief3_primary_occlusion-025_seed_20260809,20260809,occlusion,0.25,18,0,0,0.0,0.0,994,0.994
brief3_primary_occlusion-025_seed_20260809,20260809,occlusion,0.25,19,0,0,0.0,0.0,988,0.988
brief3_primary_occlusion-025_seed_20260809,20260809,occlusion,0.25,20,0,0,0.0,0.0,983,0.983
brief3_primary_occlusion-025_seed_20260809,20260809,occlusion,0.25,21,0,0,0.0,0.0,979,0.979
brief3_primary_occlusion-025_seed_20260809,20260809,occlusion,0.25,22,0,0,0.0,0.0,973,0.973
brief3_primary_occlusion-025_seed_20260809,20260809,occlusion,0.25,23,1,0,0.0011135857461024498,0.0,966,0.966
brief3_primary_occlusion-025_seed_20260809,20260809,occlusion,0.25,24,0,0,0.0,0.0,959,0.959
brief3_primary_occlusion-025_seed_20260809,20260809,occlusion,0.25,25,0,1,0.0,0.009708737864077667,943,0.943
brief3_primary_occlusion-025_seed_20260809,20260809,occlusion,0.25,26,0,0,0.0,0.0,933,0.933
brief3_primary_occlusion-025_seed_20260809,20260809,occlusion,0.25,27,1,0,0.0011135857461024498,0.0,922,0.922
brief3_primary_occlusion-025_seed_20260809,20260809,occlusion,0.25,28,0,0,0.0,0.0,912,0.912
brief3_primary_occlusion-025_seed_20260809,20260809,occlusion,0.25,29,0,0,0.0,0.0,897,0.897
brief3_primary_occlusion-025_seed_20260809,20260809,occlusion,0.25,30,1,0,0.0011148272017837235,0.0,880,0.88
brief3_primary_occlusion-025_seed_20260809,20260809,occlusion,0.25,31,0,0,0.0,0.0,865,0.865
brief3_primary_occlusion-025_seed_20260809,20260809,occlusion,0.25,32,0,0,0.0,0.0,850,0.85
brief3_primary_occlusion-040_seed_20260809,20260809,occlusion,0.4,1,0,0,0.0,0.0,0,0.0
brief3_primary_occlusion-040_seed_20260809,20260809,occlusion,0.4,2,8,11,0.009080590238365494,0.09243697478991596,768,0.768
brief3_primary_occlusion-040_seed_20260809,20260809,occlusion,0.4,3,4,5,0.004524886877828055,0.04310344827586207,832,0.832
brief3_primary_occlusion-040_seed_20260809,20260809,occlusion,0.4,4,2,3,0.0022598870056497176,0.02608695652173913,838,0.838
brief3_primary_occlusion-040_seed_20260809,20260809,occlusion,0.4,5,0,2,0.0,0.017543859649122806,838,0.838
brief3_primary_occlusion-040_seed_20260809,20260809,occlusion,0.4,6,0,3,0.0,0.026785714285714284,838,0.838
brief3_primary_occlusion-040_seed_20260809,20260809,occlusion,0.4,7,1,5,0.001122334455667789,0.045871559633027525,843,0.843
brief3_primary_occlusion-040_seed_20260809,20260809,occlusion,0.4,8,1,0,0.0011173184357541898,0.0,843,0.843
brief3_primary_occlusion-040_seed_20260809,20260809,occlusion,0.4,9,0,0,0.0,0.0,879,0.879
brief3_primary_occlusion-040_seed_20260809,20260809,occlusion,0.4,10,1,0,0.0011185682326621924,0.0,880,0.88
brief3_primary_occlusion-040_seed_20260809,20260809,occlusion,0.4,11,0,1,0.0,0.009345794392523364,891,0.891
